Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.91277083,-80.13789933,23:43.4,10/7/22,6,0.427,270.12,-7.221283826,1.43,277.8,271.26,0.06,-1.71,31.1,0.04,1.6,1.64,95,22,513.3,16.3,-1.3,D,1557,0,7.729,2,0,128,103.47,-80.13782418,25.91275464,0,0,1,N,1.709441,57,57,11,193,193,287.8358,0,9999.99,1.6,1.727,2,9,32.5,0,32.59999847,16.84,1532.03911,10/7/22,10:56:19,28.14,27.53,16.84,1.117,8.29,-76.7,2.8,-3,-871,93.2,6.63,12.4,
25.91277,-80.13789683,23:44.5,10/7/22,6,0.607,270.12,-7.221283826,1.43,277.3,270.74,2.09,-5.57,31.1,0.02,2.18,2.2,95,22,513.3,16.3,-1.3,D,1557,0,7.464,2,0,128,103.23,-80.13782418,25.91275464,0,0,1,N,1.709441,70,70,11,195,195,288.2751,0,9999.99,2.2,2.327,0,0,32.4,0,32.40000153,51.16,1566.86481,10/7/22,10:56:20,28.2,74.21,51.16,1.144,8.23,-73.5,-2.1,-0.6,-1529,91.7,5.38,12.5,
25.91277098,-80.13789087,23:45.5,10/7/22,6,0.421,270.12,-7.221283826,1.43,272.9,266.22,-0.71,2.95,31.1,0.01,2.31,2.32,95,22,513.3,16.3,-1.3,D,1557,1,22.375,2,0.26,174,137.09,-80.13773856,25.9126236,0,0,1,N,4.840483,53,53,11,5,5,129.3145,0,9999.99,2.29,2.417,0,0,32.3,0,32.29999924,51.7,1567.23994,10/7/22,10:56:21,28.18,74.89,51.7,1.1,8.23,-73.4,-2.3,-4.8,-3093,90.2,5.28,12.3,
25.91276962,-80.13788976,23:46.5,10/7/22,6,0.271,270.12,-7.221283826,1.43,263.7,256.7,1.38,5.68,31.1,0,2.4,2.41,95,28,513.3,16.3,-1.7,D,1228.6,1,22.188,2,0.42,174,137.03,-80.13773856,25.9126236,0,0,1,N,4.79929,60,60,11,5,5,129.2233,0,9999.99,2.4,2.527,2,9,32.3,0,32.29999924,51.11,1566.63073,10/7/22,10:56:22,28.13,74.15,51.11,1.048,8.23,-73.1,-3.1,-2.4,-1209,89,5.23,12.4,
25.91276741,-80.13789291,23:47.5,10/7/22,6,0.667,270.12,-7.221283826,1.43,259,251.81,1.42,-2.58,31.1,0.02,2.32,2.34,95,28,513.3,16.3,-1.7,D,1228.6,1,22.227,2,0.36,174,136.01,-80.13773856,25.9126236,0,0,1,N,5.193679,66,66,11,5,5,127.6027,0,9999.99,2.34,2.467,0,0,32.2,0,32.20000076,53.19,1568.59732,10/7/22,10:56:23,28.09,76.75,53.19,1.065,8.22,-72.8,-2.4,1.2,-3049,87.7,5.1,12.4,
25.91276655,-80.13789701,23:48.5,10/7/22,6,0.955,270.12,-7.221283826,1.43,254.7,247.32,2.57,0.52,31.1,0.03,2.22,2.24,95,28,513.3,16.3,-1.7,D,1228.6,1,22.446,2,0.57,174,135.09,-80.13773856,25.9126236,0,0,1,N,5.573458,72,72,11,5,5,126.3557,0,9999.99,2.24,2.367,2,9,32.1,0,32.09999847,54,1569.25553,10/7/22,10:56:25,28.04,77.76,54,1.118,8.21,-71.8,-2.6,-7.4,-3453,85.4,4.95,12.3,
25.91276355,-80.13790336,23:49.5,10/7/22,6,1.071,270.12,-7.221283826,1.43,250.9,243.35,1.17,0.81,31.2,0.01,2.22,2.23,95,40,513.3,16.3,-2.4,D,861.9,1,22.668,2,0.76,174,133.36,-80.13773856,25.9126236,0,0,1,N,6.276185,64,64,11,5,5,123.8499,0,9999.99,2.23,2.357,2,9,32,0,32,54.14,1569.21783,10/7/22,10:56:26,27.91,77.93,54.14,1.18,8.2,-71.6,-3.1,-1.4,-48,84.2,4.88,12.4,
25.91276062,-80.13791161,23:50.5,10/7/22,6,1.404,270.12,-7.221283826,1.43,244.6,236.74,1.35,0.6,31.2,0,2.1,2.1,95,40,513.3,16.3,-2.4,D,861.9,1,23.059,2,1.09,174,131.36,-80.13773856,25.9126236,0,0,1,N,7.140285,67,67,11,5,5,121.0938,0,9999.99,2.11,2.237,2,9,31.9,0,32,54.14,1569.21783,10/7/22,10:56:26,27.91,77.93,54.14,1.18,8.2,-71.6,-3.1,-1.4,-48,84.2,4.88,12.4,
25.91275986,-80.13791993,23:51.5,10/7/22,6,1.799,256.23,-7.221283826,1.43,237,228.74,2.04,3.03,31.2,0,1.73,1.74,95,40,513.3,16.3,-2.4,D,861.9,1,23.635,2,1.35,174,129.87,-80.13773856,25.9126236,0,0,1,N,7.887243,67,67,11,5,5,119.3366,0,9999.99,1.75,1.877,2,9,31.8,0,31.79999924,55.19,1569.94126,10/7/22,10:56:27,27.81,79.21,55.19,1.124,8.2,-71.6,-3.1,-2.5,-2546,83,4.79,12.4,
25.91275402,-80.13792664,23:52.5,10/7/22,6,1.19,256.23,-7.221283826,1.43,226.8,217.99,2.78,2.5,31.2,0,1.45,1.45,95,40,513.3,16.3,-2.4,D,861.9,1,23.753,2,2.05,174,127.63,-80.13773856,25.9126236,0,0,1,N,8.738552,74,74,11,5,5,116.2874,0,9999.99,1.47,1.597,2,9,31.7,0,31.70000076,55.38,1569.95621,10/7/22,10:56:28,27.79,79.46,55.38,1.111,8.21,-71.8,-3.4,-2.8,-777,81.6,4.71,12.4,
25.91274902,-80.13793031,23:53.5,10/7/22,6,0.997,256.23,-7.221283826,1.43,217,207.68,2.98,2.13,31.2,0.01,1.32,1.33,95,38,513.3,16.3,-2.3,D,898.4,1,23.713,2,1.93,174,126.02,-80.13773856,25.9126236,0,0,1,N,9.347234,75,75,11,5,5,113.9115,0,9999.99,1.35,1.477,2,9,31.6,0,31.60000038,55.58,1569.98198,10/7/22,10:56:29,27.78,79.7,55.58,1.097,8.21,-72,-2.4,-5.6,-3363,80.4,4.63,12.3,
25.91274403,-80.13793542,23:54.6,10/7/22,6,2.279,241.36,-7.221283826,1.43,207.5,197.74,3.36,1.96,31.2,0,1.24,1.24,95,38,513.3,16.3,-2.3,D,898.4,1,23.811,2,1.62,174,124.22,-80.13773856,25.9126236,0,0,1,N,10.11458,77,77,11,5,5,111.3146,0,9999.99,1.27,1.397,2,9,31.5,0,31.5,54.86,1569.05188,10/7/22,10:56:31,27.71,78.81,54.86,1.092,8.21,-71.9,-2.7,-4.9,-2969,77.8,4.51,12.4,
