Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.91275133,-80.13790833,02:16.9,9/2/21,10,0.024,11.52,-7.114276417,1.02,161.5,151.49,1.83,-2.79,33.1,0,1.95,1.95,88,23,475.3,15.9,-1.4,D,1340.8,0,8.425,2,0.1,128,87.5,-80.13782418,25.91275464,0,0,1,N,1.259154,68,68,11,5,5,93.46522,0,9999.99,1.96,2.087,2,9,31.2,0,31.20000076,53.44,1567.02223,9/2/21,11:39:02,30.66,77.19,53.44,0.956,8.12,-67,-3.1,-2.6,-3512,56.3,3.14,13.2,
25.912751,-80.1379085,02:17.9,9/2/21,9,0.095,11.52,-7.114276417,1.25,160.5,150.52,2.07,-6.13,33.1,0,1.93,1.94,88,23,475.3,15.9,-1.4,D,1340.8,0,8.443,2,0.1,128,87.25,-80.13782418,25.91275464,0,0,1,N,1.259154,69,69,11,5,5,93.33156,0,9999.99,1.95,2.077,2,9,31.2,0,31.20000076,53.44,1567.02222,9/2/21,11:39:03,30.66,77.2,53.44,0.958,8.12,-67.5,-4,-4.2,-3657,56,3.13,13,
25.9127507,-80.1379086,02:18.9,9/2/21,10,0.069,11.52,-7.114276417,1.25,157,147.15,3.27,-0.93,33.1,0.02,1.95,1.97,88,23,475.3,15.9,-1.4,D,1340.8,0,8.454,2,0.05,174,87.03,-80.13782418,25.91275464,0,0,1,N,1.259154,74,74,11,5,5,87.02248,0,9999.99,1.97,2.097,2,9,31.2,0,31.20000076,53.45,1567.03265,9/2/21,11:39:04,30.66,77.21,53.45,0.956,8.12,-67.3,-2.7,-7.2,-1169,55.7,3.11,13.2,
25.91274842,-80.13790805,02:19.9,9/2/21,10,0.335,11.52,-7.114276417,1.25,157.6,147.73,1.39,-2.44,33.1,0.02,1.95,1.97,88,26,475.3,15.9,-1.6,D,1189.9,0,8.417,2,0.12,174,85.28,-80.13782418,25.91275464,0,0,1,N,1.259154,65,65,11,5,5,85.31847,0,9999.99,1.97,2.097,2,9,31.2,0,31.20000076,53.46,1567.04507,9/2/21,11:39:05,30.66,77.23,53.46,0.962,8.11,-66.6,-2.6,-2.4,-3373,55.4,3.09,13.2,
25.91274398,-80.13790617,02:20.9,9/2/21,10,0.873,11.52,-7.114276417,1.25,154.9,145.14,0.3,-1.51,33.1,0.02,2.05,2.07,88,26,475.3,15.9,-1.6,D,1189.9,0,8.286,2,0.4,174,81.78,-80.13782418,25.91275464,0,0,1,N,1.259154,59,59,11,5,5,81.92615,0,9999.99,2.06,2.187,2,9,31.2,0,31.20000076,53.45,1567.03436,9/2/21,11:39:06,30.66,77.21,53.45,0.99,8.14,-68.5,-3.7,-2.4,-1407,55.2,3.08,13.3,
25.91273734,-80.13790261,02:21.9,9/2/21,10,1.282,112.01,-7.114276417,0.95,152.2,142.56,0.98,-0.9,33.1,0.01,2.18,2.19,88,26,475.3,15.9,-1.6,D,1189.9,0,8.077,2,0.69,174,76.22,-80.13782418,25.91275464,0,0,1,N,1.259154,63,63,11,5,5,76.46958,0,9999.99,2.19,2.317,2,9,31.2,0,31.20000076,53.41,1566.99264,9/2/21,11:39:07,30.66,77.16,53.41,1.026,8.15,-68.9,-2.2,-6.1,-947,54.9,3.06,13.1,
25.91273093,-80.13789852,02:22.9,9/2/21,10,1.448,132.38,-7.114276417,0.95,147,137.62,1.03,1.47,33.1,0.01,2.25,2.26,88,41,475.2,15.9,-2.6,D,759.9,0,7.889,2,0.98,174,70.47,-80.13782418,25.91275464,0,0,1,N,1.259154,63,63,11,5,5,70.83604,0,9999.99,2.26,2.387,2,9,31.2,0,31.20000076,53.4,1566.98167,9/2/21,11:39:08,30.67,77.15,53.4,0.992,8.14,-68.7,-2.5,-1.2,-1089,54.7,3.05,13.2,
25.91272526,-80.13789428,02:23.9,9/2/21,10,1.396,141.75,-7.114276417,0.95,138.7,129.82,2.07,0.7,33.1,0.01,2.12,2.13,88,41,475.2,15.9,-2.6,D,759.9,0,7.735,2,1.23,174,65.02,-80.13782418,25.91275464,0,0,1,N,1.259154,69,69,11,5,5,65.54082,0,9999.99,2.13,2.257,2,9,31.2,0,31.20000076,53.37,1566.95005,9/2/21,11:39:09,30.67,77.1,53.37,0.995,8.15,-68.9,-4.1,-1.2,-883,54.6,3.05,13.3,
25.91271967,-80.13788801,02:24.9,9/2/21,11,1.409,141.95,-7.114276417,0.95,130.1,121.81,2.57,0.29,33.1,0.01,1.93,1.94,88,41,475.2,15.9,-2.6,D,759.9,0,7.475,2,1.36,174,58.66,-80.13782418,25.91275464,0,0,1,N,1.259154,71,71,11,5,5,59.249,0,9999.99,1.95,2.077,2,9,31.2,0,31.20000076,53.5,1567.08549,9/2/21,11:39:10,30.66,77.27,53.5,0.953,8.14,-68.5,-2.7,0.2,-5212,54.5,3.04,13.2,
25.91271488,-80.13788275,02:25.9,9/2/21,10,1.366,141.95,-7.114276417,1.02,119.3,111.8,2.83,1.25,33.1,0.02,1.83,1.85,88,41,475.2,15.9,-2.6,D,759.9,0,7.34,2,1.43,174,52.95,-80.13782418,25.91275464,0,0,1,N,1.259154,74,74,11,5,5,53.47772,0,9999.99,1.86,1.987,2,9,31.2,0,31.20000076,53.59,1567.1794,9/2/21,11:39:11,30.64,77.39,53.59,0.982,8.12,-67.3,-3.3,-7,-3379,54.5,3.04,13.1,
25.91271153,-80.13787607,02:26.9,9/2/21,10,1.362,132.32,-7.114276417,1.02,109.1,102.37,2.76,1.81,33.1,0.02,1.82,1.83,88,39,475.2,15.9,-2.4,D,807.5,1,16.874,2,1.46,174,125.41,-80.13773856,25.9126236,0,0,1,N,6.974813,74,74,11,151,151,108.4705,0,9999.99,1.84,1.967,2,9,31.2,0,31.20000076,53.59,1567.17952,9/2/21,11:39:12,30.63,77.39,53.59,0.967,8.1,-66.1,-3.2,0,-3083,54.4,3.04,13.2,
25.9127089,-80.13786903,02:27.9,9/2/21,10,1.334,132.32,-7.114276417,1.02,101.2,95.03,3.16,7.98,33.1,0.01,1.94,1.95,88,39,475.2,15.9,-2.4,D,807.5,1,16.132,2,1.46,174,126.01,-80.13773856,25.9126236,0,0,1,N,6.523065,77,77,11,188,188,110.3651,0,9999.99,1.97,2.097,2,9,31.2,0,31.20000076,53.59,1567.17836,9/2/21,11:39:13,30.63,77.38,53.59,0.956,8.09,-65.4,-2.5,-0.4,1593,54.2,3.02,13.1,
25.91270875,-80.13785991,02:28.9,9/2/21,11,1.574,101.46,-7.114276417,1.17,104.8,98.38,0.9,1.41,33.1,0.01,2.22,2.23,88,39,475.2,15.9,-2.4,D,807.5,1,15.393,2,1.5,174,127.96,-80.13773856,25.9126236,0,0,1,N,5.734064,62,62,11,189,189,113.9237,0,9999.99,2.24,2.367,2,9,31.2,0,31.20000076,53.62,1567.20969,9/2/21,11:39:14,30.62,77.41,53.62,0.978,8.09,-65.3,-3.5,-1.6,-2541,53.9,3.01,13.2,
25.91270798,-80.13785189,02:29.9,9/2/21,11,1.491,97.51,-7.114276417,1.17,108.2,101.53,0.67,2.31,33.1,0,2.31,2.31,88,38,475.2,15.9,-2.4,D,824,1,14.715,2,1.56,175,129.62,-80.13773856,25.9126236,0,0,1,N,5.086096,61,61,11,189,189,117.1109,0,9999.99,2.32,2.447,2,9,31.2,0,31.20000076,53.65,1567.24062,9/2/21,11:39:15,30.63,77.45,53.65,0.99,8.08,-65,-3.8,-3,-3829,53.5,2.98,13.1,
25.91270642,-80.137843,02:30.9,9/2/21,11,1.785,97.12,-7.114276417,1.02,112.5,105.52,1.23,1.84,33.2,0,2.24,2.24,88,38,475.2,15.9,-2.4,D,824,1,13.925,2,1.6,175,131.4,-80.13773856,25.9126236,0,0,1,N,4.413687,64,64,11,188,188,120.6713,0,9999.99,2.25,2.377,2,9,31.2,0,31.20000076,53.67,1567.26122,9/2/21,11:39:16,30.63,77.48,53.67,0.995,8.08,-64.7,-3.4,1.3,-3205,53,2.95,13.2,
25.91270514,-80.13783416,02:31.9,9/2/21,11,1.745,100.04,-7.114276417,0.88,117.6,110.23,1.16,2.2,33.1,0.01,2.58,2.58,88,38,475.2,15.9,-2.4,D,824,1,13.178,2,1.62,176,133.48,-80.13773856,25.9126236,0,0,1,N,3.72118,63,63,11,187,187,124.6124,0,9999.99,2.59,2.717,2,9,31.2,0,31.20000076,53.67,1567.26172,9/2/21,11:39:17,30.63,77.48,53.67,0.988,8.08,-64.8,-3.9,-5.7,-4418,52.5,2.93,13.2,
