Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.91273167,-80.137877,21:02.6,10/21/21,7,0.049,249.86,-7.127399022,1.43,198.8,188.82,1.18,-4.78,35.4,0,2.91,2.91,90,22,497.3,16.1,-1.3,D,1478.9,0,3.059,1,0.17,128,60.1,-80.13785049,25.91274538,0,0,1,N,2.337049,64,64,11,117,117,186.8522,0,9999.99,2.92,3.047,2,9,29.7,0,29.70000076,44.41,1554.69366,10/21/21,11:57:17,27.4,65.57,44.41,1.093,7.78,-46.4,-3.2,-1.5,-3140,83.6,5.16,13.1,
25.91273267,-80.13787783,21:03.6,10/21/21,7,0.049,249.86,-7.127399022,1.43,198.3,188.3,0.85,-4.73,35.4,0,2.88,2.88,90,22,497.3,16.1,-1.3,D,1478.9,0,3.078,1,0.17,128,62.66,-80.13785049,25.91274538,0,0,1,N,2.337049,63,63,11,114,114,184.7746,0,9999.99,2.89,3.017,2,9,29.7,0,29.70000076,44.41,1554.69368,10/21/21,11:57:19,27.44,65.58,44.41,1.086,7.78,-46.3,-3.1,-7.7,-119,83.5,5.15,13.1,
25.91273297,-80.13787853,21:04.6,10/21/21,7,0.063,249.86,-7.127399022,1.43,198.6,188.61,1.93,-4.06,35.4,0,2.82,2.83,90,22,497.3,16.1,-1.3,D,1478.9,1,10.541,1,0.13,160,141.28,-80.13781261,25.91265901,0,0,1,N,3.111788,69,69,11,5,5,137.2121,0,9999.99,2.84,2.967,2,9,29.7,0,29.70000076,44.41,1554.69368,10/21/21,11:57:19,27.44,65.58,44.41,1.086,7.78,-46.3,-3.1,-7.7,-119,83.5,5.15,13.1,
25.91273212,-80.1378794,21:05.6,10/21/21,8,0.385,249.86,-7.127399022,1.43,197.4,187.38,1.11,-5.68,35.5,0.01,2.77,2.78,90,22,497.3,16.1,-1.3,D,1478.9,1,10.522,1,0.22,160,140.59,-80.13781261,25.91265901,0,0,1,N,3.223525,64,64,11,5,5,136.5082,0,9999.99,2.78,2.907,2,9,29.7,0,29.70000076,44.42,1554.70481,10/21/21,11:57:21,27.47,65.59,44.42,1.093,7.78,-46.4,-2.6,-5.5,-580,83.6,5.15,13.1,
25.91272985,-80.13788109,21:06.7,10/21/21,7,0.614,249.86,-7.127399022,1.43,195.9,185.83,0.82,-2.77,35.5,0,2.75,2.76,90,29,497.2,16.1,-1.8,D,1143.2,1,10.438,1,0.38,160,138.99,-80.13781261,25.91265901,0,0,1,N,3.468627,62,62,11,5,5,135.0213,0,9999.99,2.76,2.887,2,9,29.7,0,29.70000076,44.44,1554.72546,10/21/21,11:57:22,27.5,65.62,44.44,1.11,7.78,-46.4,-3.2,-5.4,-531,83.5,5.15,13.2,
25.91272649,-80.13788304,21:07.7,10/21/21,7,0.721,249.86,-7.127399022,1.43,191.3,181.12,0.92,-3.46,35.4,0,2.62,2.62,90,29,497.2,16.1,-1.8,D,1143.2,1,10.293,1,0.56,160,136.81,-80.13781261,25.91265901,0,0,1,N,3.786922,63,63,11,5,5,133.1372,0,9999.99,2.63,2.757,2,9,29.6,0,29.70000076,44.44,1554.72546,10/21/21,11:57:22,27.5,65.62,44.44,1.11,7.78,-46.4,-3.2,-5.4,-531,83.5,5.15,13.2,
25.91272289,-80.13788459,21:08.7,10/21/21,7,0.842,249.86,-7.127399022,1.43,186.1,175.84,1.09,-2.68,35.4,0,2.47,2.47,90,29,497.2,16.1,-1.8,D,1143.2,1,10.114,1,0.71,160,134.61,-80.13781261,25.91265901,0,0,1,N,4.078578,64,64,11,5,5,131.4513,0,9999.99,2.48,2.607,2,9,29.6,0,29.60000038,44.36,1554.4398,10/21/21,11:57:24,27.52,65.51,44.36,1.098,7.77,-46,-4.1,-2,-2431,83.4,5.14,13.1,
25.91271757,-80.13788643,21:09.7,10/21/21,8,1.24,221.65,-7.127399022,1.43,181.4,171.1,1.27,-0.73,35.3,0,2.18,2.18,90,29,497.2,16.1,-1.8,D,1123.2,1,9.845,1,0.83,160,131.41,-80.13781261,25.91265901,0,0,1,N,4.466908,65,65,11,5,5,129.2923,0,9999.99,2.19,2.317,2,9,29.6,0,29.60000038,44.36,1554.4398,10/21/21,11:57:24,27.52,65.51,44.36,1.098,7.77,-46,-4.1,-2,-2431,83.4,5.14,13.1,
25.91271126,-80.13788787,21:10.7,10/21/21,9,1.135,221.65,-7.127399022,1.43,173.8,163.52,1.45,-1.47,35.4,0,1.96,1.97,90,29,497.2,16.1,-1.8,D,1123.2,1,9.509,1,0.93,160,127.66,-80.13781261,25.91265901,0,0,1,N,4.863714,66,66,11,5,5,127.1721,0,9999.99,1.98,2.107,2,9,29.6,0,29.60000038,44.37,1554.45037,10/21/21,11:57:25,27.5,65.52,44.37,1.086,7.78,-46.5,-4.5,-3.3,-5767,83.4,5.14,13.1,
25.91270704,-80.13788604,21:11.8,10/21/21,9,0.778,221.65,-7.127399022,1.43,166.1,155.95,1.72,-2.18,35.4,0,1.76,1.77,90,29,497.2,16.1,-1.8,D,1123.2,1,9.081,1,1.04,160,126.03,-80.13781261,25.91265901,0,0,1,N,4.890808,67,67,11,11,11,127.0319,0,9999.99,1.78,1.907,2,9,29.6,0,29.60000038,44.4,1554.48194,10/21/21,11:57:27,27.5,65.57,44.4,1.083,7.78,-46.4,-3.3,-7.8,-2549,83.3,5.13,13,
