Date,Location,Course Code,Course Name
Spring 2023,"FIU, USA",COP 4814-UHA,Component-Based Software Development
Spring 2023,"FIU, USA",COP 4813-RVC,Web Application Programming
Spring 2023,"FIU, USA",COP 4555-U01,Principles of Programming Languages
Spring 2023,"FIU, USA",COP 4555-RVD,Principles of Programming Languages
Spring 2023,"FIU, USA",COP 4555-RVC,Principles of Programming Languages
Spring 2023,"FIU, USA",CEN 3721-UHA,Intro to Human-Computer Interaction
Spring 2023,"FIU, USA",CAP 4104-UHB,Human-Computer Interaction for CS
Spring 2023,"FIU, USA",CAP 4104-UHA,Human-Computer Interaction for CS
Fal 2022,"FIU, USA",COP 4814-UHA,Component-Based Software Development
Fal 2022,"FIU, USA",COP 4813-RVC,Web Application Programming
Fal 2022,"FIU, USA",COP 4555-U02,Principles of Programming Languages
Fal 2022,"FIU, USA",COP 4555-RVC,Principles of Programming Languages
Fal 2022,"FIU, USA",CEN 3721-UHB,Intro to Human-Computer Interaction
Fal 2022,"FIU, USA",CAP 4104-RVE,Human-Computer Interaction for CS
Fal 2022,"FIU, USA",CAP 4104-RVC,Human-Computer Interaction for CS
Summer 2022,"FIU, USA",COP 4814-RVBB,Component-Based Software Development
Summer 2022,"FIU, USA",COP 4813-RVBB,Web Application Programming
Summer 2022,"FIU, USA",COP 4555-RVBB,Principles of Programming Languages
Summer 2022,"FIU, USA",CEN 3721-RVBB,Intro to Human-Computer Interaction
Summer 2022,"FIU, USA",Academy for CS Education,Intro to Data Science with Python for Master's and PhD Engineering Programs
Summer 2022,"FIU, USA",Academy for CS Education,Intro to Robotics with Arduino for Master's and PhD Engineering Programs
Spring 2022,"FIU, USA",COP 4814-UHA,Component-Based Software Development
Spring 2022,"FIU, USA",COP 4813-RVC,Web Application Programming
Spring 2022,"FIU, USA",COP 4555-U02,Principles of Programming Languages
Spring 2022,"FIU, USA",COP 4555-U01,Principles of Programming Languages
Spring 2022,"FIU, USA",COP 4555-RVC,Principles of Programming Languages
Spring 2022,"FIU, USA",CEN 3721-UHB,Intro to Human-Computer Interaction
