Semester,Course Structure,Learning Support,Student-Instructor Interaction,Overall Assessment,Number of Students
Summer 2022 - 55 Students,4.58,4.61,4.71,4.65,55
Spring 2022 - 34 Students,4.91,4.85,4.91,4.89,34
Fall 2021 - 34 Students,4.81,4.81,4.87,4.8,34
Summer 2021 - 63 Students,4.76,4.73,4.7,4.73,63
Spring 2021 - 49 Students,4.58,4.43,4.51,4.51,49
Fall 2020 - 46 Students,4.94,4.85,4.81,4.86,46
Summer 2020 - 63 Students,4.94,4.85,4.93,4.91,63
Spring 2020 - 49 Students,4.58,4.43,4.51,4.51,49
Fall 2019 - 97 Students,4.80,4.82,4.82,4.81,97
Summer 2019 - 29 Students,4.91,4.87,4.88,4.89,29
Spring 2019 - 88 Students,4.73,4.73,4.82,4.76,88
Fall 2018 - 78 Students,4.71,4.74,4.82,4.75,78
