Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.84588467,-80.176332,00:48.8,10/3/20,9,0.48,193.43,-6.992765471,1.23,67.6,63.21,6.15,-6.37,25.5,2.07,2.39,4.47,95,25,507.4,16.3,-1.5,D,1347.5,0,9025446,0,0,128,94.32,0,0,0,0,0,N,0,90,90,0,158,158,0,0,9999.99,2.45,2.577,2,9,27.6,0,27.60000038,2.97,1506.83691,10/3/20,16:40:50,27.63,5.531,2.97,0.977,7.88,-52.6,-0.8,1.4,-3405,28.6,2.22,12.6,
25.845882,-80.176331,00:49.8,10/3/20,9,0.483,193.43,-6.992764951,1.23,68.8,64.37,5.68,-4.08,25.5,2.04,2.5,4.54,95,25,507.4,16.3,-1.5,D,1347.5,0,9025446,0,0,128,94.32,0,0,0,0,0,N,0,90,90,0,158,158,0,0,9999.99,2.55,2.677,2,9,27.6,0,27.60000038,3,1506.8671,10/3/20,16:40:51,27.63,5.579,3,0.955,7.85,-50.4,-1.9,4.1,-1432,28.6,2.22,12.4,
25.8458795,-80.17633033,00:50.8,10/3/20,9,0.592,193.43,-6.992765178,1.23,68.2,63.79,4.38,-5.31,25.5,2.04,2.56,4.6,95,20,507.4,16.3,-1.2,D,1682.2,0,9025446,0,0,128,94.32,0,0,0,0,0,N,0,90,90,0,158,158,0,0,9999.99,2.6,2.727,2,9,27.6,0,27.60000038,3.01,1506.8765,10/3/20,16:40:52,27.63,5.592,3.01,0.976,7.87,-51.9,1.9,3.7,-855,28.6,2.22,12.4,
25.84587767,-80.17632933,00:51.8,10/3/20,9,0.585,193.43,-6.992765229,1.23,70.9,66.41,4.26,-6.08,25.6,2.03,2.57,4.61,95,20,507.4,16.3,-1.2,D,1705.3,0,9025445,0,0,128,94.32,0,0,0,0,0,N,0,90,90,0,158,158,0,0,9999.99,2.61,2.737,2,9,27.6,0,27.60000038,3.01,1506.87311,10/3/20,16:40:53,27.63,5.59,3.01,0.934,7.86,-51.2,-0.4,1.7,-2469,28.6,2.22,12.7,
25.84587383,-80.17632783,00:52.8,10/3/20,9,0.719,193.43,-6.992765573,1.02,72.3,67.77,3.73,-4.13,25.6,2.05,2.57,4.63,95,20,507.4,16.3,-1.2,D,1705.3,0,9025445,0,0,128,94.32,0,0,0,0,0,N,0,90,90,0,158,158,0,0,9999.99,2.61,2.737,2,9,27.6,0,27.60000038,3,1506.86216,10/3/20,16:40:54,27.63,5.574,3,0.97,7.86,-51,3.4,-1.9,487,28.6,2.22,12.4,
25.84587217,-80.17632617,00:53.8,10/3/20,9,0.522,193.43,-6.992765937,1.02,73,68.44,4.46,-5.37,25.6,2.02,2.62,4.64,95,20,507.4,16.3,-1.2,D,1705.3,0,9025445,0,0,128,94.32,0,0,0,0,0,N,0,90,90,0,158,158,0,0,9999.99,2.66,2.787,2,9,27.6,0,27.60000038,2.98,1506.83764,10/3/20,16:40:55,27.63,5.54,2.98,0.926,7.86,-51.2,-1.8,1.7,-611,28.6,2.22,12.5,
25.84586917,-80.17632483,00:54.8,10/3/20,9,0.534,193.43,-6.992766705,1.02,75.8,71.14,4.65,-6.86,25.6,2.04,2.62,4.66,95,20,507.4,16.3,-1.2,D,1705.3,0,9025445,0,0,128,94.32,0,0,0,0,0,N,0,90,90,0,146,146,0,0,9999.99,2.66,2.787,2,9,27.6,0,27.60000038,3.02,1506.88687,10/3/20,16:40:57,27.62,5.608,3.02,0.946,7.86,-51,-1.2,-1.2,-3339,28.6,2.22,12.5,
25.845866,-80.17632317,00:55.8,10/3/20,9,0.617,193.43,-6.992767086,1.02,80,75.17,4.22,-2.77,25.7,2.01,2.69,4.7,95,20,507.4,16.3,-1.2,D,1664.9,0,9025445,0,0,128,94.32,0,0,0,0,0,N,0,90,90,0,94,94,0,0,9999.99,2.73,2.857,2,9,27.6,0,27.60000038,3.05,1506.91362,10/3/20,16:40:58,27.62,5.667,3.05,0.947,7.89,-53.2,-1.3,2,-1360,28.6,2.21,12.6,
25.845864,-80.17632133,00:56.9,10/3/20,9,0.405,193.43,-6.992767644,1.02,80.2,75.36,4.4,-4.94,25.7,2.02,2.74,4.76,95,20,507.4,16.3,-1.2,D,1664.9,0,9025445,0,0,128,94.32,0,0,0,0,0,N,0,90,90,0,79,79,0,0,9999.99,2.78,2.907,2,9,27.6,0,27.60000038,2.99,1506.85186,10/3/20,16:40:59,27.62,5.556,2.99,0.958,7.86,-51,-1.4,-2.4,162,28.5,2.21,12.4,
25.84586267,-80.17631933,00:57.9,10/3/20,9,0.504,193.43,-6.992768465,1.02,85.7,80.59,4.11,-9.1,25.7,2.01,2.74,4.75,95,20,507.3,16.3,-1.2,D,1668.8,0,9025444,0,0,128,94.32,0,0,0,0,0,N,0,90,90,0,79,79,0,0,9999.99,2.78,2.907,2,9,27.6,0,27.60000038,2.95,1506.81226,10/3/20,16:41:00,27.62,5.481,2.95,0.951,7.85,-50.5,-1.4,-0.4,-3226,28.5,2.21,12.6,
