Course Name,Count
Basic Statistics,2
Statistical Computing,3
Statistical Methods I, 2
Statistical Methods II, 3
Statistical Methods III, 1
Intro to Bayesian Data Analysis,1
Statistics I,7
Statistics II,4
Statistics III,1
Probability,8
Statistical Learning,2
Time Series Analysis,1
Statistics Applications,1
Predictive Analytics,1
Big Data Analytics Methods,1
Statistical Theory,2
Applied Business Statistics,1
Mathematical Statistics,1
Programming With Data in R,3
Statistical Learning in R,1
Regression Analysis,2
Intro to Statistical Inference,1
